#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        rand.bin|  3.78e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.42775936|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.00019971|   WEAK   
  diehard_rank_32x32|   0|     40000|     100|0.06920125|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.79246179|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.00240475|   WEAK   
        diehard_opso|   0|   2097152|     100|0.00000018|  FAILED  
        diehard_oqso|   0|   2097152|     100|0.42862888|  PASSED  
         diehard_dna|   0|   2097152|     100|0.00152074|   WEAK   
diehard_count_1s_str|   0|    256000|     100|0.15803618|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.00000217|   WEAK   
 diehard_parking_lot|   0|     12000|     100|0.50331801|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.75969063|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.86276473|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00003366|   WEAK   
        diehard_sums|   0|       100|     100|0.96019293|  PASSED  
        diehard_runs|   0|    100000|     100|0.53291284|  PASSED  
        diehard_runs|   0|    100000|     100|0.81175933|  PASSED  
       diehard_craps|   0|    200000|     100|0.00008685|   WEAK   
       diehard_craps|   0|    200000|     100|0.29220676|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.64659157|  PASSED  
            sts_runs|   2|    100000|     100|0.51186745|  PASSED  
          sts_serial|   1|    100000|     100|0.01999111|  PASSED  
          sts_serial|   2|    100000|     100|0.94645379|  PASSED  
          sts_serial|   3|    100000|     100|0.38379618|  PASSED  
          sts_serial|   3|    100000|     100|0.04845242|  PASSED  
          sts_serial|   4|    100000|     100|0.00851780|  PASSED  
          sts_serial|   4|    100000|     100|0.02399375|  PASSED  
          sts_serial|   5|    100000|     100|0.05975834|  PASSED  
          sts_serial|   5|    100000|     100|0.40754258|  PASSED  
          sts_serial|   6|    100000|     100|0.19309815|  PASSED  
          sts_serial|   6|    100000|     100|0.99828233|   WEAK   
          sts_serial|   7|    100000|     100|0.55956720|  PASSED  
          sts_serial|   7|    100000|     100|0.99474705|  PASSED  
          sts_serial|   8|    100000|     100|0.48400938|  PASSED  
          sts_serial|   8|    100000|     100|0.71350279|  PASSED  
          sts_serial|   9|    100000|     100|0.92288887|  PASSED  
          sts_serial|   9|    100000|     100|0.39661001|  PASSED  
          sts_serial|  10|    100000|     100|0.91582112|  PASSED  
          sts_serial|  10|    100000|     100|0.71916652|  PASSED  
          sts_serial|  11|    100000|     100|0.67379679|  PASSED  
          sts_serial|  11|    100000|     100|0.83487235|  PASSED  
          sts_serial|  12|    100000|     100|0.85937716|  PASSED  
          sts_serial|  12|    100000|     100|0.89366249|  PASSED  
          sts_serial|  13|    100000|     100|0.96269808|  PASSED  
