#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|               urandom_100mb.bin|  3.99e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.79726145|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.43876453|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.54394568|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.08040563|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.58536343|  PASSED  
        diehard_opso|   0|   2097152|     100|0.00010814|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.17612251|  PASSED  
         diehard_dna|   0|   2097152|     100|0.64244107|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.78546961|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.00981079|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.88193571|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.06239667|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.18526133|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.01355306|  PASSED  
        diehard_sums|   0|       100|     100|0.14758443|  PASSED  
        diehard_runs|   0|    100000|     100|0.15967629|  PASSED  
        diehard_runs|   0|    100000|     100|0.20575870|  PASSED  
       diehard_craps|   0|    200000|     100|0.01166503|  PASSED  
       diehard_craps|   0|    200000|     100|0.01177018|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00307372|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00001905|   WEAK   
         sts_monobit|   1|    100000|     100|0.89113698|  PASSED  
            sts_runs|   2|    100000|     100|0.42994574|  PASSED  
          sts_serial|   1|    100000|     100|0.77522225|  PASSED  
          sts_serial|   2|    100000|     100|0.32410793|  PASSED  
          sts_serial|   3|    100000|     100|0.14131526|  PASSED  
          sts_serial|   3|    100000|     100|0.28338986|  PASSED  
          sts_serial|   4|    100000|     100|0.53258245|  PASSED  
          sts_serial|   4|    100000|     100|0.39419370|  PASSED  
          sts_serial|   5|    100000|     100|0.01972470|  PASSED  
          sts_serial|   5|    100000|     100|0.29011234|  PASSED  
          sts_serial|   6|    100000|     100|0.64263492|  PASSED  
          sts_serial|   6|    100000|     100|0.91443535|  PASSED  
          sts_serial|   7|    100000|     100|0.94085852|  PASSED  
          sts_serial|   7|    100000|     100|0.46333278|  PASSED  
          sts_serial|   8|    100000|     100|0.98999783|  PASSED  
          sts_serial|   8|    100000|     100|0.90171631|  PASSED  
          sts_serial|   9|    100000|     100|0.91374498|  PASSED  
